,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
81,1100,2,27.35,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/mairie/163942297.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.21937842778793
82,1150,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/164487423.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,50.0
83,1120,2,32.59,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/162489561.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,34.366370052163234
84,1200,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163015013.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,42.857142857142854
85,995,1,27.36,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/163503353.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,36.36695906432749
86,1000,1,18.8,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/163731919.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,53.191489361702125
87,590,1,9.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/164029167.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,65.55555555555556
88,1190,1,27.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/164077931.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,44.074074074074076
89,1200,1,42.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/164504649.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,28.571428571428573
90,960,2,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/elysees-madeleine/164366739.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,53.333333333333336
91,790,2,19.35,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/164445635.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.82687338501292
