,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
66,1086,1,32.56,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bel-air-nord/163392197.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.353808353808354
67,900,1,27.38,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/didot-porte-de-vanves/163859665.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.87070854638422
68,795,2,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/pernety/164059703.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.125
69,1034,2,35.36,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/alleray-procession/164099021.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,29.242081447963802
70,1100,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/saint-lambert/164110237.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,36.666666666666664
71,950,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/164112047.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.0
72,821,1,24.19,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/164115691.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.93964448119057
73,950,1,38.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/didot-porte-de-vanves/164116325.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,25.0
74,960,1,35.68,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/164136095.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,26.905829596412556
75,900,4,53.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/montsouris-dareau/164241077.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,16.9811320754717
76,850,2,27.78,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/164269299.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,30.59755219582433
77,1195,2,33.91,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bel-air-nord/164269489.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,35.24034208198172
78,830,1,18.67,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/164304085.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,44.45634708087841
79,845,1,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/didot-porte-de-vanves/164314039.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,27.258064516129032
80,900,1,23.4,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/164316973.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.46153846153847
81,950,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/164346233.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.0
82,956,1,21.45,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/164382649.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,44.56876456876457
83,1180,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/saint-lambert/164521127.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,39.333333333333336
84,970,1,41.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/pernety/164520005.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,23.658536585365855
85,1100,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/bievres-sud-tolbiac/164544769.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,47.82608695652174
86,900,1,33.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/montsouris-dareau/142470415.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,27.272727272727273
